DATE,COMPOUT
2015-04-22,1025.552250471
2015-04-29,1023.206481681
2015-05-06,1016.716477807
2015-05-13,992.319530828
2015-05-20,963.864167879
2015-05-27,944.864796786
2015-06-03,943.578677709
2015-06-10,964.802301116
2015-06-17,974.34604644
2015-06-24,980.873799135
2015-07-01,951.998884711
2015-07-08,1020.477674368
2015-07-15,1028.326248716
2015-07-22,1047.586942137
2015-07-29,1058.278083853
2015-08-05,1068.082184517
2015-08-12,1059.103521905
2015-08-19,1057.107202802
2015-08-26,1049.715775418
2015-09-02,1032.059671466
2015-09-09,1043.943880407
2015-09-16,1038.955234974
2015-09-23,1030.672164352
2015-09-30,957.836505612
2015-10-07,1045.782697145
2015-10-14,1049.083932495
2015-10-21,1063.914989852
2015-10-28,1057.126028449
2015-11-04,1058.397790465
2015-11-11,1049.424693233
2015-11-18,1066.330656393
2015-11-25,1057.632282135
2015-12-02,1043.758732096
2015-12-09,1036.450514758
2015-12-16,1014.647800146
2015-12-23,1022.315013775
2015-12-30,1056.759696413
2016-01-06,1082.385926676
2016-01-13,1044.725078981
2016-01-20,1051.857593805
2016-01-27,1061.394108154
2016-02-03,1064.869858841
2016-02-10,1077.029592577
2016-02-17,1084.188349414
2016-02-24,1076.427991894
2016-03-02,1082.942128857
2016-03-09,1084.440724408
2016-03-16,1097.530474385
2016-03-23,1089.808780872
2016-03-30,1100.722101546
2016-04-06,1101.786381878
2016-04-13,1093.206071452
2016-04-20,1110.781579459
2016-04-27,1109.564611616
2016-05-04,1120.359661505
2016-05-11,1115.725329631
2016-05-18,1099.009454546
2016-05-25,1079.360833746
2016-06-01,1066.306462418
2016-06-08,1052.213311632
2016-06-15,1043.417097191
2016-06-22,1038.911271764
2016-06-29,1050.792791767
2016-07-06,1039.774990487
2016-07-13,1047.942386871
2016-07-20,1053.333870973
2016-07-27,1026.295850536
2016-08-03,1022.480484085
2016-08-10,1023.327569192
2016-08-17,1012.467410635
2016-08-24,1004.032313659
2016-08-31,981.291891245
2016-09-07,982.696719283
2016-09-14,963.736619019
2016-09-21,942.53522229
2016-09-28,946.505924128
2016-10-05,916.294406871
2016-10-12,902.857338657
2016-10-19,905.006165251
2016-10-26,902.649980312
2016-11-02,907.020607872
2016-11-09,907.307041899
2016-11-16,912.003499884
2016-11-23,921.542898481
2016-11-30,923.460633162
2016-12-07,935.395912293
2016-12-14,950.043489727
2016-12-21,965.784782032
2016-12-28,986.459758949
2017-01-04,949.471132129
